
Filament No. Dendrite Branch Pts
 ==================== 
Filament No. Dendrite Branch Pts,Unit,Category,Birth [s],Death [s],ID,OriginalID,Original Component Name,Original Component ID,Original Image Name,Original Image ID,
0.000000,,Filament, 0.000, 0.010, 100000055,100000055,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
0.000000,,Filament, 0.000, 0.010, 100000056,100000056,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
1.000000,,Filament, 0.000, 0.010, 100000057,100000057,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
0.000000,,Filament, 0.000, 0.010, 100000058,100000058,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
1.000000,,Filament, 0.000, 0.010, 100000059,100000059,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
0.000000,,Filament, 0.000, 0.010, 100000060,100000060,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
1.000000,,Filament, 0.000, 0.010, 100000061,100000061,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
0.000000,,Filament, 0.000, 0.010, 100000062,100000062,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
0.000000,,Filament, 0.000, 0.010, 100000063,100000063,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
0.000000,,Filament, 0.000, 0.010, 100000064,100000064,Filaments Unnamed 1 Filaments_C1_Masked_C3 (210520).icsx_[ibrx_2021-06-07T17-29-52.762],500001,2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161],I:\Gels in wells\200429_210607_Repeat of 200326\NEW Analysis\Repeat 7\2020-05-03_16.55.08_F072_[ims2_2021-06-07T12-28-24.161].ims,
